id,original_title,title,original_language,overview,tagline,release_date,poster_path,vote_count,vote_average,budget,revenue,runtime,backdrop_path,genre_names,collection,collection_name,profit,release_year,release_month,release_day,other_genres
170,28 Days Later,28 Days Later,en,"Twenty-eight days after a killer virus was accidentally unleashed from a British research facility, a small group of London survivors are caught in a desperate struggle to protect themselves from the infected. Carried by animals and humans, the virus turns those it infects into homicidal maniacs -- and it's absolutely impossible to contain.",His fear began when he woke up alone. His terror began when he realised he wasn't.,2002-10-31,/sQckQRt17VaWbo39GIu0TMOiszq.jpg,5557,7.2,5000000,85720385,113,/veUl0QT8swshQ9Dz0fQ1k6ZkthD.jpg,"['Horror', 'Science Fiction', 'Thriller']",1565.0,28 Days/Weeks Later Collection,80720385,2002,10,31,"['Science Fiction', 'Thriller']"
1562,28 Weeks Later,28 Weeks Later,en,"The inhabitants of the British Isles have lost their battle against the onslaught of disease, as the deadly rage virus has killed every citizen there. Six months later, a group of Americans dare to set foot on the isles, convinced the danger has come and gone. But it soon becomes all too clear that the scourge continues to live, waiting to pounce on its next victims.",When days turn to weeks... the horror returns.,2007-04-26,/ja8nzgtzhJq0vtX3BJcnbceIxCF.jpg,3514,6.6,15000000,65048678,100,/PN7yjmQdmG0J62jsrtmrPi8ezK.jpg,"['Horror', 'Science Fiction', 'Thriller']",1565.0,28 Days/Weeks Later Collection,50048678,2007,4,26,"['Science Fiction', 'Thriller']"
4513,30 Days of Night,30 Days of Night,en,"This is the story of an isolated Alaskan town that is plunged into darkness for a month each year when the sun sinks below the horizon. As the last rays of light fade, the town is attacked by a bloodthirsty gang of vampires bent on an uninterrupted orgy of destruction. Only the small town's husband-and-wife Sheriff team stand between the survivors and certain destruction.",They're Coming!,2007-10-17,/goHX48AYgfsKhNYnbgC92YF9URL.jpg,2267,6.4,30000000,75505973,113,/w8VDpCcKezdBbXJEWMHwttI35mU.jpg,"['Horror', 'Thriller']",91660.0,30 Days of Night Collection,45505973,2007,10,17,['Thriller']
403119,47 Meters Down,47 Meters Down,en,"Two sisters on Mexican vacation are trapped in a shark observation cage at the bottom of the ocean, with oxygen running low and great whites circling nearby, they have less than an hour of air left to figure out how to get to the surface.",No way out. No way up. No chance in hell.,2017-05-25,/lMcsEOcd6crzfF0pjsGkO5Pq01t.jpg,2406,5.8,5500000,44235023,89,/6j8B3BqTuNrpAJoa0JIc7nZzOUn.jpg,"['Adventure', 'Drama', 'Horror', 'Thriller']",635922.0,47 Meters Down Collection,38735023,2017,5,25,"['Adventure', 'Drama', 'Thriller']"
139038,A Haunted House,A Haunted House,en,"Malcolm and Kisha move into their dream home, but soon learn a demon also resides there. When Kisha becomes possessed, Malcolm - determined to keep his sex life on track - turns to a priest, a psychic, and a team of ghost-busters for help in this spoof of all the ""found-footage/documentary style"" films released in recent years.",This $*%! ain't paranormal.,2013-01-11,/skQt53YE2iyOftXj5afJkHmYxLW.jpg,1499,5.8,2500000,60141683,86,/akKBMXHEesqfuoYFt7LaRptFAO0.jpg,"['Comedy', 'Horror']",251937.0,A Haunted House Collection,57641683,2013,1,11,['Comedy']
184345,A Haunted House 2,A Haunted House 2,en,"After exorcising the demons of his ex-, Malcolm starts afresh with his new girlfriend and her two children. After moving into their dream home, Malcolm is once again plagued by bizarre paranormal events.",It'll scare the #2 out of you.,2014-04-17,/oV7M00fPXy5P0nbdeMbSUjYv0vx.jpg,1126,6.0,4000000,25343661,87,/6gycezbvc8iHSune1Evq79dcYIY.jpg,"['Comedy', 'Horror']",251937.0,A Haunted House Collection,21343661,2014,4,17,['Comedy']
377,A Nightmare on Elm Street,A Nightmare on Elm Street,en,"Teenagers in a small town are dropping like flies, apparently in the grip of mass hysteria causing their suicides. A cop's daughter, Nancy Thompson, traces the cause to child molester Fred Krueger, who was burned alive by angry parents many years before. Krueger has now come back in the dreams of his killers' children, claiming their lives as his revenge. Nancy and her boyfriend, Glen, must devise a plan to lure the monster out of the realm of nightmares and into the real world...","If Nancy Doesn't Wake Up Screaming, She Won't Wake Up At All!",1984-11-09,/wGTpGGRMZmyFCcrY2YoxVTIBlli.jpg,4150,7.3,1800000,25685134,91,/g9ROrZey0JYp7kf8DoAyZtKnObj.jpg,['Horror'],8581.0,A Nightmare on Elm Street Collection,23885134,1984,11,9,
10014,A Nightmare on Elm Street Part 2: Freddy's Revenge,A Nightmare on Elm Street Part 2: Freddy's Revenge,en,"A new family moves into the house on Elm Street, and before long, the kids are again having nightmares about deceased child murderer Freddy Krueger. This time, Freddy attempts to possess a teenage boy to cause havoc in the real world, and can only be overcome if the boy's sweetheart can master her fear.",The Man of Your Dreams Is Back!,1985-11-01,/9sjIuH2k5eeXNVHKutkWZIjA2qw.jpg,1460,5.8,3000000,30000000,87,/jjp0pOGBX7b2ZCUwI6U837HiYGS.jpg,['Horror'],8581.0,A Nightmare on Elm Street Collection,27000000,1985,11,1,
10072,A Nightmare on Elm Street 3: Dream Warriors,A Nightmare on Elm Street 3: Dream Warriors,en,"It's been many years since Freddy Krueger's first victim, Nancy, came face-to-face with Freddy and his sadistic, evil ways. Now, Nancy's all grown up; she's put her frightening nightmares behind her and is helping teens cope with their dreams. Too bad Freddy's decided to herald his return by invading the kids' dreams and scaring them into committing suicide.","If you think you're ready for Freddy, think again!",1987-02-27,/qbtZewU6EGvxi8yFVzwZ31NijLX.jpg,1376,6.7,4000000,44800000,96,/vXPtLz7OeoPyucEgs2K64A4pJbc.jpg,"['Horror', 'Thriller']",8581.0,A Nightmare on Elm Street Collection,40800000,1987,2,27,['Thriller']
10131,A Nightmare on Elm Street 4: The Dream Master,A Nightmare on Elm Street 4: The Dream Master,en,"Dream demon Freddy Krueger is resurrected from his apparent demise, and rapidly tracks down and kills the remainder of the Elm Street kids. However, Kristen, who can draw others into her dreams, wills her special ability to her friend Alice. Alice soon realizes that Freddy is taking advantage of that unknown power to pull a new group of children into his foul domain.",Terror beyond your wildest dreams.,1988-08-19,/boStYG7jKdoIZTduiOOsUVknD13.jpg,1095,5.8,13000000,49400000,94,/n9iKgzDObyu4PxvNBwJZDZSfXP1.jpg,"['Horror', 'Thriller']",8581.0,A Nightmare on Elm Street Collection,36400000,1988,8,19,['Thriller']
