,id,original_title,title,original_language,overview,tagline,release_date,poster_path,vote_count,vote_average,budget,revenue,runtime,status,adult,backdrop_path,genre_names,collection,collection_name,profit
125,630240,Titane,Titane,fr,"A woman with a metal plate in her head from a childhood car accident embarks on a bizarre journey, bringing her into contact with a firefighter who's reunited with his missing son after 10 years.",,2021-07-14,/wY7jeCdbhWuYao4WHI51pc51a9b.jpg,903,6.5,6600000,5115725,108,Released,False,/zEddiBK6yZNUGVnmBJzmnYcEWiR.jpg,"Drama, Horror, Thriller",,,-1484275
128,396535,부산행,Train to Busan,ko,"When a zombie virus pushes Korea into a state of emergency, those trapped on an express train to Busan must fight for their own survival.",Life-or-death survival begins.,2016-07-20,/vNVFt6dtcqnI7hqa6LFBUibuFiw.jpg,5939,7.8,8500000,87547518,118,Released,False,/fVpFOcQyHJM2di9upgSIwWD5wac.jpg,"Action, Horror, Science Fiction, Thriller",619537.0,Train to Busan Collection,79047518
160,6537,El orfanato,The Orphanage,es,"A woman brings her family back to her childhood home, which used to be an orphanage, intent on reopening it. Before long, her son starts to communicate with a new invisible friend.",A tale of love.  A story of horror.,2007-05-20,/vIpi1KtHLXUOfSVC2m6MqpjSPgL.jpg,2442,7.2,3400000,78638987,105,Released,False,/ljDBlVJXicjh3TwsECxQwY6Ts3l.jpg,"Drama, Horror, Thriller",,,75238987
182,8329,[REC],[REC],es,A television reporter and cameraman follow emergency workers into a dark apartment building and are quickly locked inside with something terrifying.,One witness. One camera,2007-11-23,/5XsVGgo8I12v3KlPcD0r1CNHMC6.jpg,3576,7.2,1500000,32511655,78,Released,False,/sYZPRfv7OvtS8KOvZ5OojOaiI7F.jpg,"Horror, Mystery",74508.0,[REC] Collection,31011655
213,581392,반도,Peninsula,ko,A soldier and his team battle hordes of post-apocalyptic zombies in the wastelands of the Korean Peninsula.,Escape the apocalypse.,2020-07-15,/eeqvAzCccAZOhU3RfbvHB3s44S6.jpg,1971,6.8,17000000,39657073,116,Released,False,/d2UxKyaJ5GgzuHaSsWinFfv3g6L.jpg,"Action, Horror, Thriller",619537.0,Train to Busan Collection,22657073
283,185341,[REC] 4: Apocalipsis,[REC]⁴ Apocalypse,es,"Ángela Vidal, the young television reporter who entered the building with the firemen, manages to make it out alive. But what the soldiers don't know is that she carries the seed of the strange infection. She is to be taken to a provisional quarantine facility, a high-security installation where she will have to stay in isolation for several days. An old oil tanker, miles off shore and surrounded by water on all sides, has been especially equipped for the quarantine.",It’s time to leave.,2014-10-31,/sD6LX35RwyDzMDAunn89MBZFnFv.jpg,935,5.5,3000000,4915757,95,Released,False,/vWzAeUQo7aP7cR6wUOrsK0YdWw7.jpg,"Horror, Thriller",74508.0,[REC] Collection,1915757
290,614696,#살아있다,#Alive,ko,"As a grisly virus rampages a city, a lone man stays locked inside his apartment, digitally cut off from seeking help and desperate to find a way out.",You must survive.,2020-06-24,/zqf711LsnQ5CcW3rISFw2t7OYzb.jpg,1365,7.3,6300000,13416285,98,Released,False,/hWpVSEMWDvG49ezvpksnS5BSnvB.jpg,"Action, Horror, Thriller",,,7116285
297,59429,パラノーマル・アクティビティ 第2章 TOKYO NIGHT,Paranormal Activity: Tokyo Night,ja,"Koichi takes care of his sister, who has recently returned from a trip abroad in the United States as she is not well. While caring for her, he records evidence of ghosts in their home.",The nightmare continue...,2010-11-20,/mh7j7XlYWo82UnQGhsxcuyolzp.jpg,360,6.0,1350000,4160000,91,Released,False,/1S6HTRZ8HwuIM8KVNOaycN5WxwX.jpg,"Horror, Thriller",,,2810000
344,80280,[REC]³ Génesis,[REC]³ Genesis,es,A pair of newlyweds must fight to survive when their wedding reception descends into chaos and carnage when their guests become infected by a virus that turns them into hungry zombies.,You may kiss the bride.,2012-03-30,/tI1534q0Up7PBcLdXdFerLmIXn3.jpg,1221,5.2,6400000,11019975,80,Released,False,/zw2fVaoOajJc5wcbESvAUsCXimU.jpg,Horror,74508.0,[REC] Collection,4619975
376,9539,Martyrs,Martyrs,fr,"A young woman’s quest for revenge against the people who kidnapped and tortured her as a child leads her and her best friend, also a victim of child abuse, on a terrifying journey into a living hell of depravity.",They haven’t finished being alive.,2008-09-03,/5ftw4H7jvp6wYhlp8HsuF4N66RM.jpg,2142,7.4,6500000,1100000,99,Released,False,/n8zvKDOUy4JwIzQArjoVBhVaPDp.jpg,"Drama, Horror, Thriller",,,-5400000
442,1017246,Cracked,Cracked,th,"Ruja inherited the painting from her deceased father and hired Tim, an art restorer to repair it, but they don't know that this invaluable art came with invaluable horror.",,2022-02-24,/oagzq2MOUoxWpQjttENx2cODLhh.jpg,11,6.4,3000000,6000000,93,Released,False,/19zaH0qvNqhmXCCGXZqI1cqM3hz.jpg,"Horror, Thriller",,,3000000
446,10664,[REC]²,[REC]²,es,"The action continues from [REC], with the medical officer and a SWAT team outfitted with video cameras are sent into the sealed off apartment to control the situation.",Fear Revisited,2009-09-15,/gWmIqmhb6B6bmL6EPX4sVx0jO02.jpg,1652,6.6,5600000,18469680,85,Released,False,/svZPLmBwYHjlwDwHkZz4EotpXqx.jpg,"Horror, Thriller",74508.0,[REC] Collection,12869680
482,315011,シン・ゴジラ,Shin Godzilla,ja,"When a massive, gilled monster emerges from the deep and tears through the city, the government scrambles to save its citizens.  A rag-tag team of volunteers cuts through a web of red tape to uncover the monster's weakness and its mysterious ties to a foreign superpower.  But time is not on their side - the greatest catastrophe to ever befall the world is about to evolve right before their very eyes.",God help us,2016-07-29,/9TdP3lOYereXW6lJp3ayPkB8muP.jpg,866,7.1,15000000,77947607,120,Released,False,/9nyToPG5mhfm4KiPGChu35jH9QZ.jpg,"Action, Horror, Science Fiction",,,62947607
486,517302,Pahanhautoja,Hatching,fi,"12 year old Tinja is desperate to please her mother, a woman obsessed with presenting the image of a perfect family. One night, Tinja finds a strange egg. What hatches is beyond belief.",She's coming out of her shell,2022-03-04,/jgJACjJIpcbFfEEmEglinfQWQPO.jpg,142,6.4,3896000,490000,91,Released,False,/bnXGwFBomUseQIc9Xqiymy9p8qP.jpg,"Fantasy, Horror",,,-3406000
510,4552,"장화, 홍련",A Tale of Two Sisters,ko,"A recently released patient from a mental institution returns home with her sister, only to face disturbing events between her stepmother and the ghosts haunting their house- all of which are connected to a dark past in the family's history.",Our sorrow was conceived long before our birth.,2003-06-13,/l3exwhwyGE0NnHJ3lFQ7eXoBSkH.jpg,904,7.1,15050245,1062878,115,Released,False,/tM7uHa2Km5gSakooTQsZLwit3PK.jpg,"Drama, Horror, Mystery",,,-13987367
